analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012723713,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1353,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723714,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1354,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723715,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1355,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723716,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1356,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723717,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1357,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723718,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1358,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723719,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1359,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723720,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637|CCMSLIB00010149638,28.03,1360,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723721,related spectra of 'hydroxyprogesterone caproate (delta mass:-58.04)',CCMSLIB00005764750,-58.04,1361,Drug_analog|Low_confidence,hydroxyprogesterone caproate,no_match,obstetrics/gynecology,spontaneous preterm birth,progesterone receptor agonist,DOMWKUIIPQCAJU-LJHIYBGHSA-N
CCMSLIB00012723722,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1362,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723723,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1363,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723724,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1364,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723725,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1365,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723726,related spectra of 'iloprost (delta mass:28.03)',CCMSLIB00010149637,28.03,1366,Drug_analog|Low_confidence,iloprost,prostacycline,pulmonary,pulmonary arterial hypertension (PAH),platelet aggregation inhibitor|prostanoid receptor agonist,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CCMSLIB00012723727,related spectra of 'cortisone acetate (delta mass:12.0)',CCMSLIB00004704962,12,1367,Drug_analog,cortisone acetate,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|ophthalmology,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,MFYSYFVPBJMHGN-ZPOLXVRWSA-N
CCMSLIB00012723728,"related spectra of 'levonorgestrel (delta mass:59.98)', 'norgestrel (delta mass:59.98)'",CCMSLIB00005761367|CCMSLIB00005762795|CCMSLIB00005765386|CCMSLIB00005765387,59.98,1368,Drug_analog,norgestrel|levonorgestrel,progestin|progestin-containing intrauterine device (IUD),obstetrics/gynecology,contraceptive,progesterone receptor agonist,WWYNJERNGUHSAO-CULCCENASA-N|WWYNJERNGUHSAO-XUDSTZEESA-N
CCMSLIB00012723729,"related spectra of 'betamethasone (delta mass:-20.01)', 'dexamethasone (delta mass:-20.01)'",CCMSLIB00000077114|CCMSLIB00000214254|CCMSLIB00000215739|CCMSLIB00000841998|CCMSLIB00000842008|CCMSLIB00006112668|CCMSLIB00006112670|CCMSLIB00006112671|CCMSLIB00006112672|CCMSLIB00006680065|CCMSLIB00006680122,-20.01,1369,Drug_analog,dexamethasone|betamethasone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|ophthalmology|otolaryngology|neurology/psychiatry|ophtalmology,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,UREBDLICKHMUKA-CXSFZGCWSA-N|UREBDLICKHMUKA-UHFFFAOYSA-N
CCMSLIB00012723730,related spectra of 'tamoxifen (delta mass:1.0)',CCMSLIB00005777055|CCMSLIB00006115749,1,1370,Drug_analog,tamoxifen,estrogen agonist/antagonist,oncology,breast cancer,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),NKANXQFJJICGDU-QPLCGJKRSA-N
CCMSLIB00012723731,related spectra of 'testosterone propionate (delta mass:28.03)',CCMSLIB00000206430|CCMSLIB00005771184,28.03,1371,Drug_analog|Low_confidence,testosterone propionate,androgen,endocrinology,hypogonadism,androgen receptor agonist,PDMMFKSKQVNJMI-UHFFFAOYSA-N
CCMSLIB00012723732,"related spectra of 'trimebutine (delta mass:-14.01)', 'trimebutine (delta mass:-14.02)'",CCMSLIB00000078427|CCMSLIB00000079022|CCMSLIB00000085393|CCMSLIB00000085943|CCMSLIB00010103930|CCMSLIB00010115263|CCMSLIB00010151014|CCMSLIB00010151015,-14.02,1372,Drug_analog,trimebutine,drugs for functional gastrointestinal disorders,gastroenterology,irritable bowel syndrome,opioid receptor agonist,LORDFXWUHHSAQU-UHFFFAOYSA-N
CCMSLIB00012723733,related spectra of 'prednisolone (delta mass:14.02)',CCMSLIB00000004492,14.02,1373,Drug_analog,prednisolone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|transplant|ophthalmology|neurology/psychiatry,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,OIGNJSKKLXVSLS-VWUMJDOOSA-N
CCMSLIB00012723734,related spectra of 'terameprocol (delta mass:16.03)',CCMSLIB00003135755,16.03,1374,Drug_analog,terameprocol,no_match,NA,NA,lipoxygenase inhibitor,ORQFDHFZSMXRLM-IYBDPMFKSA-N
CCMSLIB00012723735,related spectra of 'finasteride (delta mass:2.0)',CCMSLIB00000223781,2,1375,Drug_analog,finasteride,5-alpha reductase inhibitor,dermatology|urology,male androgenetic alopecia|benign prostatic hyperplasia,5 alpha reductase inhibitor,DBEPLOCGEIEOCV-WSBQPABSSA-N
CCMSLIB00012723736,related spectra of 'golotimod (delta mass:42.01)',CCMSLIB00010133733,42.01,1376,Drug_analog|Low_confidence,golotimod,no_match,no_match,no_match,no_match,CATMPQFFVNKDEY-YPMHNXCESA-N
CCMSLIB00012723737,"related spectra of 'alfuzosin (delta mass:-14.01)', 'alfuzosin (delta mass:-14.02)'",CCMSLIB00000569915|CCMSLIB00005730386|CCMSLIB00010142244|CCMSLIB00010142247|CCMSLIB00010142250|CCMSLIB00010151023|CCMSLIB00010151026,-14.02,1377,Drug_analog,alfuzosin,alpha adrenergic blocker,urology,benign prostatic hyperplasia (BPH),adrenergic receptor antagonist,WNMJYKCGWZFFKR-UHFFFAOYSA-N
CCMSLIB00012723738,related spectra of 'bimatoprost (delta mass:-21.98)',CCMSLIB00010147098,-21.98,1378,Drug_analog,bimatoprost,prostaglandin analog,ophthalmology,intraocular pressure|glaucoma|ocular hypertension,prostanoid receptor agonist,AQOKCDNYWBIDND-FTOWTWDKSA-N
CCMSLIB00012723739,related spectra of 'canrenone (delta mass:36.02)',CCMSLIB00005775230,36.02,1379,Drug_analog,canrenone,aldosterone antagonist,endocrinology|cardiology,hyperaldosteronism|congestive heart failure|edema|hypertension|hypokalemia,mineralocorticoid receptor antagonist,UJVLDDZCTMKXJK-AFDHUMPMSA-N
CCMSLIB00012723740,related spectra of 'latanoprost (chimeric precursor selection) (delta mass:-38.02)',CCMSLIB00010143078,-38.02,1380,Drug_analog,latanoprost (chimeric precursor selection),prostaglandin analog,ophthalmology,ocular hypertension|glaucoma,prostanoid receptor agonist,GGXICVAJURFBLW-CEYXHVGTSA-N
CCMSLIB00012723741,related spectra of 'finasteride (delta mass:4.0)',CCMSLIB00000223781,3.99,1381,Drug_analog,finasteride,5-alpha reductase inhibitor,dermatology|urology,male androgenetic alopecia|benign prostatic hyperplasia,5 alpha reductase inhibitor,DBEPLOCGEIEOCV-WSBQPABSSA-N
CCMSLIB00012723742,"related spectra of 'ramipril (delta mass:-38.02)', 'enalapril (delta mass:2.02)'",CCMSLIB00000084917|CCMSLIB00003135024,-38.02|2.02,1382,Drug_analog,enalapril|ramipril,angiotensin converting enzyme inhibitor,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|chronic kidney disease,angiotensin converting enzyme inhibitor,GBXSMTUPTTWBMN-XIRDDKMYSA-N|HDACQVRGBOVJII-JBDAPHQKSA-N
CCMSLIB00012723743,related spectra of 'octocrylene (delta mass:17.03)',CCMSLIB00000566191|CCMSLIB00000568347|CCMSLIB00000572752|CCMSLIB00000572801|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005734462|CCMSLIB00005734697,17.03,1383,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-LJQANCHMSA-N|FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723744,"related spectra of 'octocrylene (delta mass:17.03)', 'octocrylene (delta mass:17.02)'",CCMSLIB00000077208|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005775685|CCMSLIB00005775977,17.03,1384,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723745,"related spectra of 'octocrylene (delta mass:17.03)', 'octocrylene (delta mass:17.02)'",CCMSLIB00000077208|CCMSLIB00000572552|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005733628|CCMSLIB00005775977,17.03,1385,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N|FMJSMJQBSVNSBF-LJQANCHMSA-N
CCMSLIB00012723746,"related spectra of 'octocrylene (delta mass:17.03)', 'octocrylene (delta mass:17.02)'",CCMSLIB00000077208|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005774938|CCMSLIB00005775977,17.03,1386,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723747,related spectra of 'octocrylene (delta mass:17.03)',CCMSLIB00000077208|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005775977|CCMSLIB00005776664,17.03,1387,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723748,related spectra of 'octocrylene (delta mass:17.03)',CCMSLIB00000077208|CCMSLIB00000566191|CCMSLIB00000568347|CCMSLIB00000572752|CCMSLIB00000572801|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005734462|CCMSLIB00005734697,17.03,1388,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N|FMJSMJQBSVNSBF-LJQANCHMSA-N
CCMSLIB00012723749,related spectra of 'octocrylene (delta mass:17.03)',CCMSLIB00000566191|CCMSLIB00000568347|CCMSLIB00000572752|CCMSLIB00000572801|CCMSLIB00000579921|CCMSLIB00000841551|CCMSLIB00005734462|CCMSLIB00005734697,17.03,1389,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-LJQANCHMSA-N|FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723750,related spectra of 'octocrylene (delta mass:17.03)',CCMSLIB00005776664,17.03,1390,Drug_analog,octocrylene,no_match,dermatology,sunscreen lotion,NA,FMJSMJQBSVNSBF-UHFFFAOYSA-N
CCMSLIB00012723751,related spectra of 'ergocalciferol (delta mass:-18.01)',CCMSLIB00010114654,-18.01,1391,Drug_analog|Low_confidence,ergocalciferol,provitamin D2 compound,endocrinology,hypoparathyroidism|rickets|hypophosphatemia,vitamin analog,MECHNRXZTMCUDQ-RKHKHRCZSA-N
CCMSLIB00012723752,related spectra of 'famotidine (delta mass:42.01)',CCMSLIB00010131235,42.01,1392,Drug_analog,famotidine,histamine-2 (H2) receptor antagonist,gastroenterology,heartburn|gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|gastric ulcers,histamine receptor antagonist,XUFQPHANEAPEMJ-UHFFFAOYSA-N
CCMSLIB00012723753,related spectra of 'sulfasalazine (delta mass:-18.01)',CCMSLIB00005761266|CCMSLIB00005766836|CCMSLIB00010141136|CCMSLIB00010141137|CCMSLIB00010141138,-18.01,1393,Drug_analog,sulfasalazine,aminosalicylate,gastroenterology|rheumatology,ulcerative colitis|Crohn's disease|rheumatoid arthritis,cyclooxygenase inhibitor,NCEXYHBECQHGNR-UHFFFAOYSA-N
CCMSLIB00012723754,related spectra of 'meloxicam (delta mass:29.97)',CCMSLIB00000085125|CCMSLIB00000085195|CCMSLIB00000085709|CCMSLIB00003136594,29.97,1394,Drug_analog,meloxicam,nonsteroidal anti-inflammatory drug,rheumatology|neurology/psychiatry,osteoarthritis|rheumatoid arthritis,cyclooxygenase inhibitor,ZRVUJXDFFKFLMG-UHFFFAOYSA-N
CCMSLIB00012723755,related spectra of 'lactulose (delta mass:42.01)',CCMSLIB00006122286|CCMSLIB00006122288|CCMSLIB00006122290|CCMSLIB00006122293|CCMSLIB00006122295,42.01,1395,Drug_analog|Low_confidence,lactulose,osmotic laxative,gastroenterology,portal-systemic encephalopathy (PSE)|constipation,laxative,JCQLYHFGKNRPGE-FCVZTGTOSA-N
CCMSLIB00012723756,related spectra of 'ergocalciferol (delta mass:-14.02)',CCMSLIB00010125983,-14.02,1396,Drug_analog|Low_confidence,ergocalciferol,provitamin D2 compound,endocrinology,hypoparathyroidism|rickets|hypophosphatemia,vitamin analog,MECHNRXZTMCUDQ-RKHKHRCZSA-N
CCMSLIB00012723757,related spectra of 'betulinic acid (delta mass:-56.03)',CCMSLIB00010112869,-56.03,1397,Drug_analog,betulinic acid,no_match,NA,NA,apoptosis stimulant|NFkB pathway inhibitor,QGJZLNKBHJESQX-FZFNOLFKSA-N
CCMSLIB00012723758,related spectra of 'pantoprazole (delta mass:18.01)',CCMSLIB00010138632|CCMSLIB00010142393,18.01,1398,Drug_analog,pantoprazole,proton pump inhibitor,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome,ATPase inhibitor,IQPSEEYGBUAQFF-UHFFFAOYSA-N
CCMSLIB00012723759,related spectra of 'pantoprazole (delta mass:18.01)',CCMSLIB00010138632|CCMSLIB00010142393,18.01,1399,Drug_analog,pantoprazole,proton pump inhibitor,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome,ATPase inhibitor,IQPSEEYGBUAQFF-UHFFFAOYSA-N
CCMSLIB00012723760,"related spectra of 'lactulose (delta mass:-1.98)', 'lactulose (delta mass:44.03)'",CCMSLIB00006122276|CCMSLIB00006122278|CCMSLIB00006122280|CCMSLIB00006122282|CCMSLIB00006122284|CCMSLIB00006122286|CCMSLIB00006122288|CCMSLIB00006122290|CCMSLIB00006122293|CCMSLIB00006122295|CCMSLIB00006679951|CCMSLIB00006684532,-1.98|44.03,1400,Drug_analog|Low_confidence,lactulose,osmotic laxative,gastroenterology,portal-systemic encephalopathy (PSE)|constipation,laxative,JCQLYHFGKNRPGE-FCVZTGTOSA-N
CCMSLIB00012723761,related spectra of 'perindopril (delta mass:15.99)',CCMSLIB00006117803|CCMSLIB00006117805|CCMSLIB00006117807|CCMSLIB00006117810|CCMSLIB00006117812|CCMSLIB00006117825|CCMSLIB00006117828|CCMSLIB00006117830|CCMSLIB00006684872|CCMSLIB00010132746|CCMSLIB00010132747|CCMSLIB00010132750,15.99,1401,Drug_analog,perindopril|perindopril,angiotensin converting enzyme inhibitor,cardiology,hypertension|myocardial infarction|coronary artery disease (CAD),angiotensin converting enzyme inhibitor,IPVQLZZIHOAWMC-QXKUPLGCSA-N
CCMSLIB00012723762,related spectra of 'desonide (delta mass:-31.99)',CCMSLIB00005774991|CCMSLIB00005777026,-31.99,1402,Drug_analog,desonide,corticosteroid,dermatology,corticosteroid-responsive dermatoses,glucocorticoid receptor agonist,WBGKWQHBNHJJPZ-LECWWXJVSA-N
CCMSLIB00012723763,related spectra of 'enoxolone (delta mass:-68.06)',CCMSLIB00010118337,-68.06,1403,Drug_analog,enoxolone,no_match,NA,NA,gap junction modulator,MPDGHEJMBKOTSU-YKLVYJNSSA-N
CCMSLIB00012723764,related spectra of 'calpain inhibitor i (delta mass:1.98)',CCMSLIB00010136857|CCMSLIB00010136858|CCMSLIB00010136860|CCMSLIB00010136861,1.98,1404,Drug_analog,calpain inhibitor i,no_match,no_match,no_match,no_match,FMYKJLXRRQTBOR-BZSNNMDCSA-N
CCMSLIB00012723765,related spectra of 'fursultiamine (delta mass:-12.0)',CCMSLIB00010141022,-12,1405,Drug_analog,fursultiamine,"vitamin B1, plain",metabolism,thiamine deficiency,vitamin B1 derivate,JTLXCMOFVBXEKD-FOWTUZBSSA-N
CCMSLIB00012723766,related spectra of 'irbesartan (delta mass:-42.05)',CCMSLIB00000210860|CCMSLIB00000210873|CCMSLIB00000579827|CCMSLIB00000841582|CCMSLIB00006115781|CCMSLIB00006115783|CCMSLIB00006115784|CCMSLIB00006115786|CCMSLIB00006115788|CCMSLIB00006115798|CCMSLIB00006115800|CCMSLIB00006115805|CCMSLIB00006685011|CCMSLIB00010131633,-42.05,1406,Drug_analog,irbesartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,YOSHYTLCDANDAN-UHFFFAOYSA-N
CCMSLIB00012723767,related spectra of 'terameprocol (delta mass:27.99)',CCMSLIB00003135755,27.99,1407,Drug_analog,terameprocol,no_match,NA,NA,lipoxygenase inhibitor,ORQFDHFZSMXRLM-IYBDPMFKSA-N
CCMSLIB00012723768,related spectra of 'hydroxyprogesterone caproate (delta mass:-42.01)',CCMSLIB00005764750,-42.01,1408,Drug_analog|Low_confidence,hydroxyprogesterone caproate,no_match,obstetrics/gynecology,spontaneous preterm birth,progesterone receptor agonist,DOMWKUIIPQCAJU-LJHIYBGHSA-N
CCMSLIB00012723769,related spectra of 'trazodone (delta mass:15.99)',CCMSLIB00000078519|CCMSLIB00000079178,15.99,1409,Drug_analog,trazodone,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,PHLBKPHSAVXXEF-UHFFFAOYSA-N
CCMSLIB00012723770,related spectra of 'forskolin (delta mass:-44.03)',CCMSLIB00006555848,-44.03,1410,Drug_analog,forskolin,no_match,NA,NA,adenylyl cyclase activator,OHCQJHSOBUTRHG-KGGHGJDLSA-N
CCMSLIB00012723771,related spectra of 'methylprednisolone (delta mass:13.98)',CCMSLIB00000004249|CCMSLIB00000004250|CCMSLIB00000077142|CCMSLIB00000077143|CCMSLIB00000078262|CCMSLIB00000085960|CCMSLIB00000205977|CCMSLIB00000205978|CCMSLIB00000209912|CCMSLIB00000209914|CCMSLIB00000209916|CCMSLIB00000209925|CCMSLIB00000209927|CCMSLIB00000209929|CCMSLIB00003134513|CCMSLIB00005764487|CCMSLIB00005764667|CCMSLIB00005771125|CCMSLIB00005771350|CCMSLIB00005773160|CCMSLIB00005773360|CCMSLIB00005773492|CCMSLIB00005773815|CCMSLIB00005773963|CCMSLIB00005774455|CCMSLIB00005774544|CCMSLIB00005774986|CCMSLIB00005776619|CCMSLIB00010152455,13.98,1411,Drug_analog,methylprednisolone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|ophthalmology|neurology/psychiatry,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,VHRSUDSXCMQTMA-PJHHCJLFSA-N|VHRSUDSXCMQTMA-UHFFFAOYSA-N
CCMSLIB00012723772,related spectra of 'methylprednisolone (delta mass:13.98)',CCMSLIB00000004250|CCMSLIB00000077142|CCMSLIB00000077143|CCMSLIB00000078262|CCMSLIB00000085960|CCMSLIB00000205978|CCMSLIB00000209914|CCMSLIB00000209916|CCMSLIB00000209929|CCMSLIB00003134513|CCMSLIB00005764487|CCMSLIB00005771125|CCMSLIB00005772443|CCMSLIB00005772603|CCMSLIB00005773160|CCMSLIB00005773360|CCMSLIB00005773492|CCMSLIB00005773815|CCMSLIB00005773963|CCMSLIB00005774455|CCMSLIB00005774544|CCMSLIB00005774986|CCMSLIB00005776619|CCMSLIB00010152455|CCMSLIB00010152458,13.98,1412,Drug_analog,methylprednisolone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|ophthalmology|neurology/psychiatry,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,VHRSUDSXCMQTMA-PJHHCJLFSA-N|VHRSUDSXCMQTMA-UHFFFAOYSA-N
CCMSLIB00012723773,related spectra of 'digoxigenin (delta mass:-2.02)',CCMSLIB00010151840|CCMSLIB00010151841,-2.02,1413,Drug_analog,digoxigenin,no_match,NA,NA,steroid,SHIBSTMRCDJXLN-KCZCNTNESA-N
CCMSLIB00012723774,"related spectra of 'desoxycorticosterone acetate (delta mass:16.03)', 'hydroxyprogesterone caproate (delta mass:-40.03)', 'testosterone propionate (delta mass:44.03)'",CCMSLIB00000206429|CCMSLIB00005763640|CCMSLIB00005764750|CCMSLIB00005771142|CCMSLIB00006685047|CCMSLIB00006685065|CCMSLIB00010117628,16.03|-40.03|44.03,1414,Drug_analog|Low_confidence,testosterone propionate|hydroxyprogesterone caproate|desoxycorticosterone acetate,androgen|no_match,endocrinology|obstetrics/gynecology|NA,hypogonadism|spontaneous preterm birth|NA,androgen receptor agonist|progesterone receptor agonist|mineralocorticoid receptor agonist,PDMMFKSKQVNJMI-UHFFFAOYSA-N|PDMMFKSKQVNJMI-BLQWBTBKSA-N|DOMWKUIIPQCAJU-LJHIYBGHSA-N|VPGRYOFKCNULNK-ACXQXYJUSA-N
CCMSLIB00012723775,related spectra of 'hydroxyprogesterone caproate (delta mass:-40.03)',CCMSLIB00005764750,-40.03,1415,Drug_analog|Low_confidence,hydroxyprogesterone caproate,no_match,obstetrics/gynecology,spontaneous preterm birth,progesterone receptor agonist,DOMWKUIIPQCAJU-LJHIYBGHSA-N
CCMSLIB00012723776,"related spectra of 'cetirizine (delta mass:1.0)', 'levocetirizine (delta mass:1.0)'",CCMSLIB00000077127|CCMSLIB00000078089|CCMSLIB00000079138|CCMSLIB00000081597|CCMSLIB00005775156,1,1416,Drug_analog,cetirizine|levocetirizine,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,histamine receptor antagonist,ZKLPARSLTMPFCP-UHFFFAOYSA-N|ZKLPARSLTMPFCP-OAQYLSRUSA-N
CCMSLIB00012723777,related spectra of 'nicardipine (delta mass:-90.05)',CCMSLIB00000085093,-90.05,1417,Drug_analog,nicardipine,dihydropyridine calcium channel blocker,cardiology,chronic stable angina|hypertension,calcium channel blocker,ZBBHBTPTTSWHBA-UHFFFAOYSA-N
CCMSLIB00012723778,related spectra of 'quinine (delta mass:43.99)',CCMSLIB00006559878,43.99,1418,Drug_analog,quinine,antimalarial,infectious disease,malaria,hemozoin biocrystallization inhibitor,LOUPRKONTZGTKE-UHFFFAOYSA-N
CCMSLIB00012723779,"related spectra of 'golotimod (delta mass:57.02)', 'oglufanide (delta mass:57.02)'",CCMSLIB00010133731|CCMSLIB00010133733|CCMSLIB00010152308,57.02,1419,Drug_analog|Low_confidence,golotimod|oglufanide,no_match,no_match|NA,no_match|NA,no_match|VEGF antagonist,CATMPQFFVNKDEY-YPMHNXCESA-N|LLEUXCDZPQOJMY-AAEUAGOBSA-N
CCMSLIB00012723780,related spectra of 'olmesartan (delta mass:-38.02)',CCMSLIB00010138702,-38.02,1420,Drug_analog,olmesartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,VTRAEEWXHOVJFV-UHFFFAOYSA-N
CCMSLIB00012723781,related spectra of 'fluorometholone (delta mass:13.98)',CCMSLIB00005775727,13.98,1421,Drug_analog,fluorometholone,corticosteroid,ophthalmology,eye inflammation,glucocorticoid receptor agonist,FAOZLTXFLGPHNG-KNAQIMQKSA-N
CCMSLIB00012723782,"related spectra of 'enalapril (delta mass:14.01)', 'enalapril (delta mass:14.02)'",CCMSLIB00000006019|CCMSLIB00000077093|CCMSLIB00000078354|CCMSLIB00000084917|CCMSLIB00000206128|CCMSLIB00000579632|CCMSLIB00000841937|CCMSLIB00005771099|CCMSLIB00005772614|CCMSLIB00005777219|CCMSLIB00010134496|CCMSLIB00010134498|CCMSLIB00010134501,14.02,1422,Drug_analog,enalapril,angiotensin converting enzyme inhibitor,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|chronic kidney disease,angiotensin converting enzyme inhibitor,GBXSMTUPTTWBMN-XIRDDKMYSA-N|GBXSMTUPTTWBMN-UHFFFAOYSA-N
CCMSLIB00012723783,related spectra of 'fluorometholone (delta mass:14.02)',CCMSLIB00005762483,14.02,1423,Drug_analog,fluorometholone,corticosteroid,ophthalmology,eye inflammation,glucocorticoid receptor agonist,FAOZLTXFLGPHNG-KNAQIMQKSA-N
